start,stop,diff,,semaine,18
18h40,20h26,01h46,,pseudo,VieVie31
21h19,21h46,00h27,,total,05h21
12h01,12h43,00h42,,,
13h55,14h05,00h10,,,
16h00,16h18,00h18,,,
16h35,16h46,00h11,,,
15h36,16h20,00h44,,,
16h55,17h25,00h30,,,
18h19,18h26,00h07,,,
13h35,14h12,00h37,,,
